Year;Day;Date;Number_1;Number_2;Number_3;Number_4;Number_5;Bonus_Ball;Jackpot;Outcome
2023;Friday;3 March 2023;18;20;41;47;50;14;R48,129,502.31;Roll
2023;Tuesday;28 February 2023;2;14;21;22;40;19;R41,834,174.41;Roll
2023;Friday;24 February 2023;7;23;31;38;43;11;R35,995,709.27;Roll
2023;Tuesday;21 February 2023;10;18;22;36;48;2;R30,724,507.64;Roll
2023;Friday;17 February 2023;1;2;4;19;24;19;R26,331,467.34;Roll
2023;Tuesday;14 February 2023;8;14;18;21;49;11;R21,288,834.09;Roll
2023;Friday;10 February 2023;3;5;21;42;46;6;R16,935,202.99;Roll
2023;Tuesday;7 February 2023;3;4;23;32;49;8;R11,880,808.62;Roll
2023;Friday;3 February 2023;17;32;35;42;43;6;R6,190,893.31;Roll
2023;Tuesday;31 January 2023;12;14;17;29;50;20;R32,713,559.10;Won
2023;Friday;27 January 2023;27;34;36;40;50;2;R26,793,608.71;Roll
2023;Tuesday;24 January 2023;3;10;32;40;48;2;R20,274,209.03;Roll
2023;Friday;20 January 2023;5;12;15;39;47;8;R15,059,972.92;Roll
2023;Tuesday;17 January 2023;1;9;37;38;39;5;R10,039,480.14;Roll
2023;Friday;13 January 2023;12;19;25;29;41;2;R5,347,288.29;Roll
2023;Tuesday;10 January 2023;8;22;27;37;50;9;R72,989,769.37;Won
2023;Friday;6 January 2023;6;20;31;37;46;4;R66,945,004.62;Roll
2023;Tuesday;3 January 2023;2;21;33;39;42;11;R60,210,883.93;Roll
2022;Friday;30 December 2022;5;8;27;33;48;7;R55,000,000;Roll
2022;Tuesday;27 December 2022;3;19;24;28;45;12;R44,910,025.10;Roll
